food_id,name,tags,ingredients,cook_time,img_url,diet,dish_family,soup
1,Balu shahi,sweet dessert West Bengal vegetarian,"Maida flour, yogurt, oil, sugar",25,,veg,other,"balu_shahi balu_shahi balu_shahi Maida flour, yogurt, oil, sugar sweet dessert West Bengal vegetarian"
2,Boondi,sweet dessert Rajasthan vegetarian,"Gram flour, ghee, sugar",30,,veg,other,"boondi boondi boondi Gram flour, ghee, sugar sweet dessert Rajasthan vegetarian"
3,Gajar ka halwa,sweet dessert Punjab vegetarian,"Carrots, milk, sugar, ghee, cashews, raisins",60,,veg,dessert,"gajar_ka_halwa gajar_ka_halwa gajar_ka_halwa Carrots, milk, sugar, ghee, cashews, raisins sweet dessert Punjab vegetarian"
4,Ghevar,sweet dessert Rajasthan vegetarian,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",30,,veg,other,"ghevar ghevar ghevar Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom sweet dessert Rajasthan vegetarian"
5,Gulab jamun,sweet dessert West Bengal vegetarian,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",40,,veg,dessert,"gulab_jamun gulab_jamun gulab_jamun Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water sweet dessert West Bengal vegetarian"
6,Imarti,sweet dessert West Bengal vegetarian,"Sugar syrup, lentil flour",50,,veg,other,"imarti imarti imarti Sugar syrup, lentil flour sweet dessert West Bengal vegetarian"
7,Jalebi,sweet dessert Uttar Pradesh vegetarian,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",50,,veg,other,"jalebi jalebi jalebi Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom sweet dessert Uttar Pradesh vegetarian"
8,Kaju katli,sweet dessert -1 vegetarian,"Cashews, ghee, cardamom, sugar",20,,veg,other,"kaju_katli kaju_katli kaju_katli Cashews, ghee, cardamom, sugar sweet dessert  vegetarian"
9,Kalakand,sweet dessert West Bengal vegetarian,"Milk, cottage cheese, sugar",30,,veg,other,"kalakand kalakand kalakand Milk, cottage cheese, sugar sweet dessert West Bengal vegetarian"
10,Kheer,sweet dessert -1 vegetarian,"Milk, rice, sugar, dried fruits",40,,veg,dessert,"kheer kheer kheer Milk, rice, sugar, dried fruits sweet dessert  vegetarian"
11,Laddu,sweet dessert -1 vegetarian,"Gram flour, ghee, sugar",40,,veg,other,"laddu laddu laddu Gram flour, ghee, sugar sweet dessert  vegetarian"
12,Lassi,sweet dessert Punjab vegetarian,"Yogurt, milk, nuts, sugar",5,,veg,other,"lassi lassi lassi Yogurt, milk, nuts, sugar sweet dessert Punjab vegetarian"
13,Nankhatai,sweet dessert -1 vegetarian,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",30,,veg,other,"nankhatai nankhatai nankhatai Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom sweet dessert  vegetarian"
14,Petha,sweet dessert Uttar Pradesh vegetarian,"Firm white pumpkin, sugar, kitchen lime, alum powder",30,,veg,other,"petha petha petha Firm white pumpkin, sugar, kitchen lime, alum powder sweet dessert Uttar Pradesh vegetarian"
15,Phirni,sweet dessert Odisha vegetarian,"Rice, sugar, nuts",20,,veg,other,"phirni phirni phirni Rice, sugar, nuts sweet dessert Odisha vegetarian"
16,Rabri,sweet dessert Uttar Pradesh vegetarian,"Condensed milk, sugar, spices, nuts",45,,veg,other,"rabri rabri rabri Condensed milk, sugar, spices, nuts sweet dessert Uttar Pradesh vegetarian"
17,Sheera,sweet dessert Maharashtra vegetarian,"Semolina, ghee, nuts, milk",25,,veg,other,"sheera sheera sheera Semolina, ghee, nuts, milk sweet dessert Maharashtra vegetarian"
18,Singori,sweet dessert Uttarakhand vegetarian,"Khoa, coconut, molu leaf",20,,veg,other,"singori singori singori Khoa, coconut, molu leaf sweet dessert Uttarakhand vegetarian"
19,Sohan halwa,sweet dessert Uttar Pradesh vegetarian,"Corn flour, ghee, dry fruits",60,,veg,dessert,"sohan_halwa sohan_halwa sohan_halwa Corn flour, ghee, dry fruits sweet dessert Uttar Pradesh vegetarian"
20,Sohan papdi,sweet dessert Maharashtra vegetarian,"Gram flour, ghee, sugar, milk, cardamom",60,,veg,other,"sohan_papdi sohan_papdi sohan_papdi Gram flour, ghee, sugar, milk, cardamom sweet dessert Maharashtra vegetarian"
21,Chhena jalebi,sweet dessert Odisha vegetarian,"Chhena, sugar, ghee",50,,veg,other,"chhena_jalebi chhena_jalebi chhena_jalebi Chhena, sugar, ghee sweet dessert Odisha vegetarian"
22,Chhena kheeri,sweet dessert Odisha vegetarian,"Chhena, sugar, milk",60,,veg,dessert,"chhena_kheeri chhena_kheeri chhena_kheeri Chhena, sugar, milk sweet dessert Odisha vegetarian"
23,Chhena poda,sweet dessert Odisha vegetarian,"Sugar, chenna cheese",45,,veg,other,"chhena_poda chhena_poda chhena_poda Sugar, chenna cheese sweet dessert Odisha vegetarian"
24,Cham cham,sweet dessert West Bengal vegetarian,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",60,,veg,other,"cham_cham cham_cham cham_cham Flour, cream, sugar, saffron, lemon juice, coconut flakes sweet dessert West Bengal vegetarian"
25,Kheer sagar,sweet dessert Odisha vegetarian,"Chenna, condensed milk, sugar, saffron, cardamom",60,,veg,dessert,"kheer_sagar kheer_sagar kheer_sagar Chenna, condensed milk, sugar, saffron, cardamom sweet dessert Odisha vegetarian"
26,Ledikeni,sweet dessert West Bengal vegetarian,"Chhena, sugar, ghee",45,,veg,other,"ledikeni ledikeni ledikeni Chhena, sugar, ghee sweet dessert West Bengal vegetarian"
27,Lyangcha,sweet dessert Assam vegetarian,"Flour, fried milk power, sugar syrup",30,,veg,other,"lyangcha lyangcha lyangcha Flour, fried milk power, sugar syrup sweet dessert Assam vegetarian"
28,Malapua,sweet dessert Bihar vegetarian,"Yoghurt, refined flour, ghee, fennel seeds",120,,veg,other,"malapua malapua malapua Yoghurt, refined flour, ghee, fennel seeds sweet dessert Bihar vegetarian"
29,Mihidana,sweet dessert West Bengal vegetarian,"Besan flour, sugar, ghee",30,,veg,other,"mihidana mihidana mihidana Besan flour, sugar, ghee sweet dessert West Bengal vegetarian"
30,Misti doi,sweet dessert West Bengal vegetarian,"Milk, jaggery",30,,veg,other,"misti_doi misti_doi misti_doi Milk, jaggery sweet dessert West Bengal vegetarian"
31,Pantua,sweet dessert West Bengal vegetarian,"Chhena, sugar, ghee, flour",45,,veg,other,"pantua pantua pantua Chhena, sugar, ghee, flour sweet dessert West Bengal vegetarian"
