food_id,name,tags,ingredients,cook_time,img_url
1,Balu shahi,sweet dessert West Bengal vegetarian,Not available,Not available,
2,Boondi,sweet dessert Rajasthan vegetarian,Not available,Not available,
3,Gajar ka halwa,sweet dessert Punjab vegetarian,Not available,Not available,
4,Ghevar,sweet dessert Rajasthan vegetarian,Not available,Not available,
5,Gulab jamun,sweet dessert West Bengal vegetarian,Not available,Not available,
6,Imarti,sweet dessert West Bengal vegetarian,Not available,Not available,
7,Jalebi,sweet dessert Uttar Pradesh vegetarian,Not available,Not available,
8,Kaju katli,sweet dessert -1 vegetarian,Not available,Not available,
9,Kalakand,sweet dessert West Bengal vegetarian,Not available,Not available,
10,Kheer,sweet dessert -1 vegetarian,Not available,Not available,
11,Laddu,sweet dessert -1 vegetarian,Not available,Not available,
12,Lassi,sweet dessert Punjab vegetarian,Not available,Not available,
13,Nankhatai,sweet dessert -1 vegetarian,Not available,Not available,
14,Petha,sweet dessert Uttar Pradesh vegetarian,Not available,Not available,
15,Phirni,sweet dessert Odisha vegetarian,Not available,Not available,
16,Rabri,sweet dessert Uttar Pradesh vegetarian,Not available,Not available,
17,Sheera,sweet dessert Maharashtra vegetarian,Not available,Not available,
18,Singori,sweet dessert Uttarakhand vegetarian,Not available,Not available,
19,Sohan halwa,sweet dessert Uttar Pradesh vegetarian,Not available,Not available,
20,Sohan papdi,sweet dessert Maharashtra vegetarian,Not available,Not available,
21,Chhena jalebi,sweet dessert Odisha vegetarian,Not available,Not available,
22,Chhena kheeri,sweet dessert Odisha vegetarian,Not available,Not available,
23,Chhena poda,sweet dessert Odisha vegetarian,Not available,Not available,
24,Cham cham,sweet dessert West Bengal vegetarian,Not available,Not available,
25,Kheer sagar,sweet dessert Odisha vegetarian,Not available,Not available,
26,Ledikeni,sweet dessert West Bengal vegetarian,Not available,Not available,
27,Lyangcha,sweet dessert Assam vegetarian,Not available,Not available,
28,Malapua,sweet dessert Bihar vegetarian,Not available,Not available,
29,Mihidana,sweet dessert West Bengal vegetarian,Not available,Not available,
30,Misti doi,sweet dessert West Bengal vegetarian,Not available,Not available,
31,Pantua,sweet dessert West Bengal vegetarian,Not available,Not available,
32,Pithe,sweet dessert Assam vegetarian,Not available,Not available,
33,Rasabali,sweet dessert Odisha vegetarian,Not available,Not available,
34,Ras malai,sweet dessert West Bengal vegetarian,Not available,Not available,
35,Rasgulla,sweet dessert West Bengal vegetarian,Not available,Not available,
