food_id,name,tags,img_url
1,Balu shahi,sweet dessert West Bengal vegetarian,
2,Boondi,sweet dessert Rajasthan vegetarian,
3,Gajar ka halwa,sweet dessert Punjab vegetarian,
4,Ghevar,sweet dessert Rajasthan vegetarian,
5,Gulab jamun,sweet dessert West Bengal vegetarian,
6,Imarti,sweet dessert West Bengal vegetarian,
7,Jalebi,sweet dessert Uttar Pradesh vegetarian,
8,Kaju katli,sweet dessert -1 vegetarian,
9,Kalakand,sweet dessert West Bengal vegetarian,
10,Kheer,sweet dessert -1 vegetarian,
11,Laddu,sweet dessert -1 vegetarian,
12,Lassi,sweet dessert Punjab vegetarian,
13,Nankhatai,sweet dessert -1 vegetarian,
14,Petha,sweet dessert Uttar Pradesh vegetarian,
15,Phirni,sweet dessert Odisha vegetarian,
16,Rabri,sweet dessert Uttar Pradesh vegetarian,
17,Sheera,sweet dessert Maharashtra vegetarian,
18,Singori,sweet dessert Uttarakhand vegetarian,
19,Sohan halwa,sweet dessert Uttar Pradesh vegetarian,
20,Sohan papdi,sweet dessert Maharashtra vegetarian,
21,Chhena jalebi,sweet dessert Odisha vegetarian,
22,Chhena kheeri,sweet dessert Odisha vegetarian,
23,Chhena poda,sweet dessert Odisha vegetarian,
24,Cham cham,sweet dessert West Bengal vegetarian,
25,Kheer sagar,sweet dessert Odisha vegetarian,
26,Ledikeni,sweet dessert West Bengal vegetarian,
27,Lyangcha,sweet dessert Assam vegetarian,
28,Malapua,sweet dessert Bihar vegetarian,
29,Mihidana,sweet dessert West Bengal vegetarian,
30,Misti doi,sweet dessert West Bengal vegetarian,
31,Pantua,sweet dessert West Bengal vegetarian,
32,Pithe,sweet dessert Assam vegetarian,
33,Rasabali,sweet dessert Odisha vegetarian,
34,Ras malai,sweet dessert West Bengal vegetarian,
35,Rasgulla,sweet dessert West Bengal vegetarian,
36,Sandesh,sweet dessert West Bengal vegetarian,
37,Adhirasam,sweet dessert West Bengal vegetarian,
38,Ariselu,sweet dessert Andhra Pradesh vegetarian,
39,Bandar laddu,sweet dessert Andhra Pradesh vegetarian,
40,Chikki,sweet dessert Maharashtra vegetarian,
41,Dharwad pedha,sweet dessert Karnataka vegetarian,
42,Double ka meetha,sweet dessert Telangana vegetarian,
43,Gavvalu,sweet dessert Andhra Pradesh vegetarian,
44,Kakinada khaja,sweet dessert Andhra Pradesh vegetarian,
45,Kuzhi paniyaram,sweet dessert Kerala vegetarian,
46,Mysore pak,sweet dessert Karnataka vegetarian,
47,Obbattu holige,sweet main course Karnataka vegetarian,
48,Palathalikalu,sweet dessert Andhra Pradesh vegetarian,
49,Poornalu,sweet dessert Andhra Pradesh vegetarian,
50,Pongal,sweet dessert Tamil Nadu vegetarian,
51,Pootharekulu,sweet dessert Andhra Pradesh vegetarian,
52,Qubani ka meetha,sweet dessert Telangana vegetarian,
53,Sheer korma,sweet dessert Telangana vegetarian,
54,Unni Appam,sweet dessert Tamil Nadu vegetarian,
55,Kajjikaya,sweet dessert Andhra Pradesh vegetarian,
56,Anarsa,sweet dessert Maharashtra vegetarian,
57,Basundi,sweet dessert Gujarat vegetarian,
58,Dhondas,sweet dessert Maharashtra vegetarian,
59,Doodhpak,sweet dessert Gujarat vegetarian,
60,Mahim halwa,sweet dessert Maharashtra vegetarian,
61,Modak,sweet dessert Maharashtra vegetarian,
